Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Pakistán,PAK,158450,228010,323170,326970,337420,351040,365780,389400,414600,431220,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Palau,PLW,..,230,240,240,240,250,250,290,300,320,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Panamá,PAN,8110,10230,16970,17680,18030,18630,18090,18300,17900,18010,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Papua Nueva Guinea,PNG,8480,13790,16390,17120,18350,20040,21670,22680,22900,22970,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Paraguay,PRY,32320,30890,41900,43280,44800,46870,47310,48060,50540,49170,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Perú,PER,43970,62310,88120,88380,89840,93240,94880,98040,96040,96280,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Filipinas,PHL,95750,142340,163300,168460,179820,187640,196720,209480,225870,232340,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Polonia,POL,442310,372230,387760,380780,375430,362360,366250,377190,390070,389650,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Portugal,PRT,56310,78790,67110,65410,63700,63320,67430,66380,70950,66820,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Qatar,QAT,14080,24230,72840,80860,82700,88940,92460,94700,97340,99830,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Rumania,ROU,245210,134090,119570,116870,107300,106410,108090,105850,108560,109010,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Federación de Rusia,RUS,3251770,2194340,2546200,2566170,2529020,2521740,2475690,2470100,2494150,2543400,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Rwanda,RWA,3770,3890,5040,5200,5360,5400,6070,6030,6090,6170,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Samoa,WSM,360,440,530,540,550,570,620,660,670,690,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Santo Tomé y Príncipe,STP,90,100,150,170,170,170,170,180,190,190,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Arabia Saudita,SAU,190640,291540,534210,568100,585810,629390,660370,664170,656080,638120,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Senegal,SEN,13770,19670,25490,25120,26500,27140,28070,29770,29750,29990,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Serbia,SRB,82030,60230,68460,63720,64510,56600,62910,64180,64500,62600,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Seychelles,SYC,220,670,520,570,540,600,650,690,740,780,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Sierra Leona,SLE,4030,3010,6000,7110,7070,7530,7460,7640,7470,7190,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Singapur,SGP,31610,55300,59100,58710,59620,60830,62560,63960,65970,66640,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,República Eslovaca,SVK,66990,46200,41670,39350,40000,37340,37770,38580,40480,39930,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Eslovenia,SVN,17760,18120,19020,18420,17780,16230,16310,17130,17310,17170,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Islas Salomón,SLB,400,550,780,800,850,820,800,880,900,940,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Somalia,SOM,25140,26060,26440,26750,26900,27050,27110,27070,26920,26970,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Sudáfrica,ZAF,312740,344130,484250,503110,513020,525050,501090,501550,514600,513440,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Sudán del Sur,SSD,28600,53610,65180,66940,62550,59950,57410,58440,56020,58660,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,España,ESP,275270,369840,348820,342540,316480,314950,325510,315830,332170,326940,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Sri Lanka,LKA,24500,21200,28490,29860,27740,30600,33900,35290,35920,35240,..,..
